text,intent
Can I visit the office without an appointment?,contact_info
Who is the parish priest?,staff_directory
How do I contact Father for a house visit?,staff_directory
Who is the assistant priest?,staff_directory
Who leads the youth ministry?,staff_directory
Who is the choir director?,staff_directory
Who manages the parish office?,staff_directory
Who is in charge of catechism classes?,staff_directory
Is the bishop visiting soon?,staff_directory
Who coordinates the altar servers?,staff_directory
Who do I talk to about marriage preparation?,staff_directory
Who is the current parish administrator?,staff_directory
Who leads the women's guild?,staff_directory
Who is responsible for the parish finance committee?,staff_directory
Who is the deacon at this parish?,staff_directory
Who teaches the confirmation classes?,staff_directory
Who is in charge of the parish council?,staff_directory
Who can I speak to about counseling?,staff_directory
Who manages the Sunday school program?,staff_directory
Who is the sacristan?,staff_directory
Who do I contact for wedding bookings?,staff_directory
What is today's Gospel reading?,scripture_lookup
Can you tell me the first reading for this Sunday?,scripture_lookup
What is the responsorial psalm today?,scripture_lookup
Where can I find the daily readings?,scripture_lookup
What scripture is used for the feast of Christ the King?,scripture_lookup
Can you show me John 3:16?,scripture_lookup
What is the second reading this week?,scripture_lookup
What Gospel passage is read on Easter Sunday?,scripture_lookup
Is there a reading plan for Lent?,scripture_lookup
What book of the Bible are we reading in daily mass?,scripture_lookup
What is the Gospel for tomorrow?,scripture_lookup
Can you give me the readings for next Sunday?,scripture_lookup
What psalm is used this week?,scripture_lookup
What is the Old Testament reading today?,scripture_lookup
Where can I read the Sunday homily reflection?,scripture_lookup
What is the Gospel reading for Palm Sunday?,scripture_lookup
Can I get the daily Mass readings by email?,scripture_lookup
What scripture passage is for the feast of the Assumption?,scripture_lookup
What is this week's liturgical theme?,scripture_lookup
Where do I find the readings for Ash Wednesday?,scripture_lookup
When was this parish founded?,parish_history
Who was the first parish priest here?,parish_history
What is the history of this church building?,parish_history
How old is this parish?,parish_history
Was this church built by missionaries?,parish_history
What diocese does this parish belong to?,parish_history
Is this church named after a specific saint?,parish_history
How many parishioners does this church have?,parish_history
Has the church been renovated before?,parish_history
What is the patron feast of this parish?,parish_history
Who built the original church structure?,parish_history
What year was the parish established?,parish_history
Is there a historical record of this parish?,parish_history
What is significant about this parish's history?,parish_history
Has the parish always been at this location?,parish_history
Who founded this mission church?,parish_history
Is there a jubilee celebration planned for the parish anniversary?,parish_history
What was this parish originally called?,parish_history
How did the parish grow over the years?,parish_history
Are there records of past parish priests?,parish_history
"Hello",greeting
"Hi",greeting
"Hi there",greeting
"Hey",greeting
"Good morning",greeting
"Good afternoon",greeting
"Good evening",greeting
"Hello there",greeting
"How are you?",greeting
"Greetings",greeting
"Hi BASILICA",greeting
"Hello BASILICA",greeting
"Peace be with you",greeting
"Hey there",greeting
"Good day",greeting
"Hi, how are you?",greeting
"Hello, I have a question",greeting
"Hey, can you help me?",greeting
"Morning",greeting
"Evening",greeting
